country_code,device_id,latitude,longitude,effective_from,effective_to,is_current_row,vertical_axis,horizontal_axes
cl,1000,-33.05,-71.62,1518652800.0,1543406399.0,False,x,"['y', 'z']"
cl,1000,-33.4,-71.69,1543406400.0,253402300799.0,True,x,"['y', 'z']"
cl,1001,-32.79,-71.53,1519862400.0,253402300799.0,True,x,"['y', 'z']"
cl,1002,-33.4,-71.69,1519776000.0,1543406399.0,False,x,"['y', 'z']"
cl,1003,-33.58,-71.61,1519776000.0,253402300799.0,True,x,"['y', 'z']"
cl,1004,-33.96,-71.87,1519776000.0,1525109399.0,False,x,"['y', 'z']"
cl,1004,-33.96,-71.87,1525109400.0,253402300799.0,True,x,"['y', 'z']"
cl,1005,-33.36,-71.67,1530986400.0,253402300799.0,True,x,"['y', 'z']"
cl,1006,-33.96,-71.82,1534550400.0,253402300799.0,True,x,"['y', 'z']"
cl,1007,-32.73,-71.41,1531137600.0,253402300799.0,True,x,"['y', 'z']"
cl,1008,-32.96,-71.55,1531137600.0,253402300799.0,True,x,"['y', 'z']"
cl,1009,-33.47,-70.57,1535760000.0,253402300799.0,True,x,"['y', 'z']"
cl,1010,-33.39,-70.55,1536969600.0,253402300799.0,True,x,"['y', 'z']"
cr,0001,9.93,-84.05,1566172800.0,253402300799.0,True,x,"['y', 'z']"
mx,000,19.33,-99.18,1483228800.0,1542758400.0,False,x,"['y', 'z']"
mx,001,15.67,-96.5,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,002,15.87,-97.07,1483228800.0,1521655199.0,False,x,"['y', 'z']"
mx,002,15.86,-97.07,1521655200.0,253402300799.0,True,x,"['y', 'z']"
mx,004,16.35,-98.05,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,005,16.22,-95.19,1483228800.0,1521676799.0,False,x,"['y', 'z']"
mx,005,16.44,-95.02,1521676800.0,253402300799.0,True,x,"['y', 'z']"
mx,006,16.68,-98.4,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,007,16.45,-95.01,1483228800.0,1521817199.0,False,x,"['y', 'z']"
mx,007,16.32,-95.24,1521817200.0,253402300799.0,True,x,"['y', 'z']"
mx,008,16.61,-98.98,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,009,16.72,-99.12,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,010,16.8,-99.39,1483228800.0,1521559799.0,False,x,"['y', 'z']"
mx,010,16.79,-99.39,1521559800.0,253402300799.0,True,x,"['y', 'z']"
mx,011,16.84,-99.9,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,012,16.36,-94.19,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,013,16.09,-93.75,1483228800.0,1576532855.0,False,x,"['y', 'z']"
mx,013,16.36,-94.19,1576532856.0,253402300799.0,True,x,"['y', 'z']"
mx,014,16.87,-99.89,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,015,17.01,-100.09,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,016,17.14,-100.47,1483228800.0,1576412698.0,False,x,"['y', 'z']"
mx,016,16.01,-97.45,1576412699.0,253402300799.0,True,x,"['y', 'z']"
mx,017,17.23,-100.63,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,018,17.26,-100.88,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,019,17.27,-101.05,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,020,17.54,-101.28,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,021,17.64,-101.48,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,022,17.64,-101.57,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,023,17.65,-101.55,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,024,17.98,-101.81,1483228800.0,253402300799.0,True,x,"['y', 'z']"
mx,025,17.96,-102.2,1483228800.0,1539820800.0,False,x,"['y', 'z']"
mx,026,18.72,-98.78,1550836800.0,253402300799.0,True,x,"['y', 'z']"
mx,027,19.05,-98.27,1570320000.0,253402300799.0,True,x,"['y', 'z']"
mx,029,18.96,-99.24,1572048000.0,253402300799.0,True,x,"['y', 'z']"
mx,999,16.01,-97.45,1521831600.0,253402300799.0,True,x,"['y', 'z']"
